candidate_id,rank,score,reasoning
CAND_0017053,25,0.5500,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.4300) backed by 8.6 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0007411,26,0.5500,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.4000) backed by 8.0 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0081846,27,0.5500,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.3160) over 6.7 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0039754,28,0.5500,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.2990) backed by 16.2 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0051381,29,0.5400,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.4390) over 12.4 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0013264,30,0.5400,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.4080) backed by 3.9 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0031932,31,0.5400,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.4010) over 12.3 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0067771,32,0.5300,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.4080) backed by 12.9 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0065293,33,0.5300,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.3470) backed by 10.2 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0055905,34,0.5300,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.2930) over 8.1 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0057976,35,0.5200,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.4030) backed by 9.3 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0022801,36,0.5200,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.3900) backed by 7.2 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0038894,37,0.5200,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.3870) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0025128,38,0.5200,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.3770) over 11.9 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0021124,39,0.5200,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.3770) backed by 14.6 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0013090,40,0.5200,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.3600) backed by 3.4 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0027450,41,0.5100,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.3970) over 7.5 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0079232,42,0.5100,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.3760) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0081218,43,0.5100,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.3730) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0044768,44,0.5100,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.3610) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0088630,45,0.5100,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.3590) backed by 13.2 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0032092,46,0.5100,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.3470) backed by 14.9 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0004330,47,0.5100,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.3420) backed by 13.8 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0055414,48,0.5100,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.3260) backed by 14.3 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0046698,49,0.5100,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.3120) over 7.0 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0004123,50,0.5000,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.4100) backed by 4.2 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0008795,51,0.5000,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.3640) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0020236,52,0.5000,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.3630) backed by 13.5 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0013810,53,0.5000,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.3450) backed by 12.8 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0018120,54,0.5000,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.3420) over 11.7 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0022484,55,0.5000,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.3260) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0057219,56,0.5000,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.3220) over 12.4 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0045899,57,0.5000,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.3200) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0030437,58,0.5000,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.3110) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0013842,59,0.5000,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.3100) over 8.4 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0005248,60,0.5000,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.3080) backed by 10.6 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0099392,61,0.5000,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.2940) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0080766,62,0.5000,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.2290) over 8.8 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0079118,63,0.4900,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.3780) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0054124,64,0.4900,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.3640) backed by 5.8 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0043628,65,0.4900,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.3520) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0066276,66,0.4900,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.3520) over 9.2 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0013186,67,0.4900,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.3490) backed by 11.5 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0012779,68,0.4900,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.3390) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0065446,69,0.4900,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.3300) backed by 9.0 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0082407,70,0.4900,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.3270) over 14.7 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0029150,71,0.4900,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.3090) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0016433,72,0.4900,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.3080) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0000739,73,0.4900,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.2900) backed by 11.1 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0098215,74,0.4900,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.2870) backed by 11.2 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0060072,75,0.4900,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.2870) over 5.7 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0037426,76,0.4900,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.2850) backed by 7.2 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0045187,77,0.4900,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.2790) backed by 14.9 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0051335,78,0.4900,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.2690) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0098997,79,0.4900,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.2680) over 10.1 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0018918,80,0.4800,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.3590) over 5.1 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0009169,81,0.4800,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.3590) backed by 3.5 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0073200,82,0.4800,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.3570) over 5.6 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0003625,83,0.4800,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.3390) backed by 7.0 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0043715,84,0.4800,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.3330) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0029209,85,0.4800,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.3270) backed by 8.3 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0047378,86,0.4800,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.3110) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0055649,87,0.4800,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.3110) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0059347,88,0.4800,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.3090) backed by 9.0 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0070658,89,0.4800,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.3050) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0004911,90,0.4800,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.3040) over 13.9 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0053768,91,0.4800,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.2990) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0040959,92,0.4800,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.2950) over 3.2 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0065445,93,0.4800,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.2920) over 12.1 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0073448,94,0.4800,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.2880) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0031796,95,0.4800,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.2710) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0018521,96,0.4800,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.2680) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0002825,97,0.4800,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.2650) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0068517,98,0.4800,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.2470) over 11.6 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0060832,99,0.4800,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.2090) backed by 12.6 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0077337,100,0.4800,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.1900) over 7.0 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
